,النص,المشاعر,درجة_الأولوية,التصنيف,الوقت
0,أرفقت جميع المستندات المطلوبة وما زال الطلب يظهر قيد المراجعة منذ فترة طويلة دون توضيح السبب.,سلبي,عاجلة,متابعة المعاملات والطلبات لدى الإمارة,2026-05-27 03:52:18
1,وصلتني رسالة تفيد بنقص مستندات لكن لم يتم تحديد المستند الناقص أو طريقة رفعه.,سلبي,متوسط,المركز الشامل وخدمات الجمهور,2026-05-27 03:52:22
2,طلبت متابعة معاملة سابقة ولم أستلم رقمًا مرجعيًا يمكنني استخدامه عند المراجعة.,سلبي,متوسط,متابعة المعاملات والطلبات لدى الإمارة,2026-05-27 03:52:27
3,راجعت الإمارة مرتين بسبب نفس الطلب، وفي كل مرة يطلب مني شرح الموضوع من جديد.,محايد,متوسط,الاستفسارات عن المتطلبات والإجراءات,2026-05-27 03:52:33
4,تم إغلاق طلبي في النظام دون توضيح نتيجة المعالجة أو سبب الإغلاق.,سلبي,عالي,المركز الشامل وخدمات الجمهور,2026-05-27 03:52:37
5,أرغب بمعرفة هل معاملتي ما زالت لدى الإمارة أم تمت إحالتها للجهة المختصة.,محايد,منخفض,متابعة المعاملات والطلبات لدى الإمارة,2026-05-27 03:52:42
6,توجد معاملة مرتبطة بطلب سابق، لكن النظام لا يربط بين الطلبين وهذا يسبب تكرار المراجعة.,سلبي,منخفض,الشكاوى والملاحظات المحالة لجهات خدمية,2026-05-27 03:52:46
7,أحتاج تحديث بيانات التواصل المرتبطة بطلب قائم لكن لا توجد أيقونة واضحة للتعديل.,سلبي,متوسط,القنوات الرقمية والنماذج الإلكترونية,2026-05-27 03:52:51
8,بعد رفع الطلب، لم تصلني نسخة من النموذج أو ملخص لما تم إرساله.,سلبي,متوسط,القنوات الرقمية والنماذج الإلكترونية,2026-05-27 03:52:55
9,أرغب في معرفة المدة المتوقعة لمعالجة طلبي حتى لا أحتاج للمراجعة المتكررة.,محايد,منخفض,الاستفسارات عن المتطلبات والإجراءات,2026-05-27 03:52:59
10,تم استلام طلبي من الموظف، لكن لم يتم تسجيله في النظام مباشرة ولم يصلني رقم متابعة.,سلبي,عاجلة,القنوات الرقمية والنماذج الإلكترونية,2026-05-27 03:53:03
11,حالة الطلب تغيرت إلى مكتمل، لكن لم يتم توضيح القرار النهائي أو الخطوة التالية.,سلبي,متوسط,الشكاوى والملاحظات المحالة لجهات خدمية,2026-05-27 03:53:07
12,أحتاج إمكانية رفع مرفقات إضافية على نفس الطلب بدل إنشاء طلب جديد.,محايد,متوسط,القنوات الرقمية والنماذج الإلكترونية,2026-05-27 03:53:11
13,تأخرت الإفادة عن معاملة عاجلة مرتبطة بظرف أسري، وأحتاج تصعيدها للإدارة المختصة.,سلبي,عالي,حالات عاجلة وحرجة,2026-05-27 03:53:16
14,لم تصلني إفادة بعد استكمال النواقص رغم رفعها قبل عدة أيام.,سلبي,عاجلة,الشكاوى والملاحظات المحالة لجهات خدمية,2026-05-27 03:53:21
15,أرغب في استلام تنبيه عند انتقال الطلب من مرحلة لأخرى بدل الدخول اليومي للمنصة.,إيجابي,متوسط,اقتراحات تحسين تجربة المستفيد,2026-05-27 03:53:26
16,تعامل موظف الاستقبال كان ممتازًا، لكن الإجراءات غير واضحة قبل الوصول للكاونتر.,إيجابي,متوسط,المركز الشامل وخدمات الجمهور,2026-05-27 03:53:32
17,أحتاج مسارًا أسرع لكبار السن وذوي الإعاقة في المركز الشامل.,سلبي,عالي,حالات عاجلة وحرجة,2026-05-27 03:53:37
18,لا توجد منطقة انتظار كافية عند الازدحام في أوقات الذروة.,سلبي,عاجلة,المركز الشامل وخدمات الجمهور,2026-05-27 03:53:41
19,تم توجيهي للإدارة الصحيحة من أول مرة، وهذا اختصر وقت المراجعة.,إيجابي,متوسط,المركز الشامل وخدمات الجمهور,2026-05-27 03:53:46
20,الطلبات الورقية ما زالت تستخدم في بعض الحالات، ونحتاج توضيح الحالات التي تتطلب ورقًا.,محايد,منخفض,الاستفسارات عن المتطلبات والإجراءات,2026-05-27 03:53:51
21,عند الاتصال بالمركز لا يتم الرد أحيانًا، ولا توجد رسالة توضح أوقات العمل.,سلبي,متوسط,الشكاوى والملاحظات المحالة لجهات خدمية,2026-05-27 03:53:55
22,أرسلت استفسارًا عبر البريد ولم يصلني رد خلال المدة المتوقعة.,سلبي,عاجلة,الشكاوى والملاحظات المحالة لجهات خدمية,2026-05-27 03:53:58
23,الموظف شرح لي النواقص بشكل واضح وساعدني في رفعها على البوابة.,إيجابي,متوسط,القنوات الرقمية والنماذج الإلكترونية,2026-05-27 03:54:01
24,توجد حاجة لتوحيد ردود الموظفين لأن المتطلبات تختلف حسب الموظف.,محايد,متوسط,الاستفسارات عن المتطلبات والإجراءات,2026-05-27 03:54:09
25,لا أعرف من أين أبدأ عند دخولي المركز، وأقترح وجود موظف توجيه عند المدخل.,إيجابي,عاجلة,الاستفسارات عن المتطلبات والإجراءات,2026-05-27 03:54:14
26,تم إنهاء طلبي في زيارة واحدة بعد توفير قائمة المتطلبات مسبقًا.,إيجابي,منخفض,متابعة المعاملات والطلبات لدى الإمارة,2026-05-27 03:54:17
27,أحتاج إمكانية حجز موعد للمركز الشامل بدل الحضور والانتظار.,محايد,متوسط,القنوات الرقمية والنماذج الإلكترونية,2026-05-27 03:54:21
28,توجد ملاحظة على عدم وضوح مسار الشكاوى بعد تسليمها في المركز.,سلبي,متوسط,المحافظات والمراكز والقرى والهجر,2026-05-27 03:54:24
29,تم رفع بلاغ عن تجمع مياه بعد الأمطار ولم يتم تحديث حالة البلاغ لدى المستفيد.,سلبي,عاجلة,حالات عاجلة وحرجة,2026-05-27 03:54:38
30,نأمل متابعة ملاحظة النظافة العامة في أحد الأحياء مع البلدية وإبلاغنا برقم الإحالة.,إيجابي,عاجلة,الشكاوى والملاحظات المحالة لجهات خدمية,2026-05-27 03:54:43
31,البلاغ المتعلق بتشوه بصري في مدخل المحافظة تكرر أكثر من مرة دون معالجة واضحة.,سلبي,متوسط,المحافظات والمراكز والقرى والهجر,2026-05-27 03:54:47
32,نحتاج متابعة ضعف شبكة الاتصال في أحد المراكز لأنه يؤثر على تقديم الخدمات الرقمية.,سلبي,منخفض,المركز الشامل وخدمات الجمهور,2026-05-27 03:54:50
33,تمت معالجة بلاغ الإنارة بعد متابعة الإمارة مع الجهة المختصة، ونشكر سرعة التجاوب.,إيجابي,منخفض,رضا وشكر,2026-05-27 03:54:53
34,أرغب بمعرفة الجهة التي تمت إحالة ملاحظتي إليها وموعد الرد المتوقع.,إيجابي,منخفض,المركز الشامل وخدمات الجمهور,2026-05-27 03:54:57
35,توجد ملاحظة على تأخر سفلتة طريق يخدم عدة مزارع، ونطلب متابعة الموضوع مع الجهة المختصة.,سلبي,متوسط,متابعة المعاملات والطلبات لدى الإمارة,2026-05-27 03:55:01
36,نرجو من الإمارة متابعة طلب تحسين مدخل المركز مع الجهة المالكة للمشروع.,إيجابي,متوسط,المركز الشامل وخدمات الجمهور,2026-05-27 03:55:05
37,سبق تقديم ملاحظة عن حاويات النظافة ولم تصل إفادة من الجهة المختصة.,سلبي,متوسط,الشكاوى والملاحظات المحالة لجهات خدمية,2026-05-27 03:55:09
38,توجد شكوى متكررة من ازدحام عند مخرج أحد الأحياء ونحتاج تنسيقًا مع الجهات ذات العلاقة.,سلبي,عالي,الشكاوى والملاحظات المحالة لجهات خدمية,2026-05-27 03:55:12
39,أرسلت ملاحظة عن حفريات مفتوحة قرب طريق عام ولم أستلم ما يفيد إحالتها.,سلبي,عاجلة,الشكاوى والملاحظات المحالة لجهات خدمية,2026-05-27 03:55:16
40,تمت إحالة طلبي إلى البلدية لكن لا تظهر أي تحديثات بعد الإحالة.,سلبي,متوسط,متابعة المعاملات والطلبات لدى الإمارة,2026-05-27 03:55:21
41,أقترح أن تظهر في منصة الإمارة حالة البلاغ المحال للجهة الخدمية حتى إغلاقه.,إيجابي,متوسط,المحافظات والمراكز والقرى والهجر,2026-05-27 03:55:25
42,نحتاج قناة رقمية مخصصة لملاحظات المحافظات والمراكز بدل الاعتماد على المراجعة الحضورية.,إيجابي,متوسط,القنوات الرقمية والنماذج الإلكترونية,2026-05-27 03:55:30
43,تم رفع طلب متعلق بخدمات أحد المراكز ولم يتم إشعار المحافظة بالحالة.,سلبي,حرج,حالات عاجلة وحرجة,2026-05-27 03:55:39
44,أقترح عرض الشكاوى المتكررة حسب المحافظة لتحديد الأولويات الشهرية.,سلبي,متوسط,المحافظات والمراكز والقرى والهجر,2026-05-27 03:55:43
45,نحتاج متابعة طلبات أهالي القرى التي تتكرر كل موسم أمطار بشكل استباقي.,سلبي,متوسط,متابعة المعاملات والطلبات لدى الإمارة,2026-05-27 03:55:48
46,الردود على ملاحظات المركز تصل متأخرة ولا يتم توثيقها في سجل موحد.,سلبي,متوسط,القنوات الرقمية والنماذج الإلكترونية,2026-05-27 03:55:53
47,أرغب في رفع ملاحظة تخص مركزًا محددًا، لكن النموذج لا يحتوي قائمة للمراكز والهجر.,سلبي,عاجلة,المحافظات والمراكز والقرى والهجر,2026-05-27 03:55:58
48,توجد مطالبات متكررة من الأهالي حول خدمة محددة، ونحتاج معرفة هل سبق تسجيلها في النظام.,إيجابي,متوسط,القنوات الرقمية والنماذج الإلكترونية,2026-05-27 03:56:04
49,أهالي إحدى القرى يشكرون المحافظة على سرعة إيصال ملاحظتهم للإمارة ومتابعتها.,إيجابي,منخفض,رضا وشكر,2026-05-27 03:56:08
50,لا نعرف آلية تصعيد الملاحظات التي لا تغلق من الجهة المختصة بعد إحالتها من المحافظة.,سلبي,حرج,حالات عاجلة وحرجة,2026-05-27 03:56:18
51,توجد حاجة لتقرير شهري يوضح أكثر الموضوعات تكرارًا في كل محافظة.,محايد,متوسط,المركز الشامل وخدمات الجمهور,2026-05-27 03:56:22
52,ملاحظات الأهالي تصل عبر أكثر من قناة ولا يتم دمجها عند وجود نفس الموضوع.,محايد,منخفض,المركز الشامل وخدمات الجمهور,2026-05-27 03:56:29
53,نحتاج ربط ملاحظات المراكز بلوحة متابعة لقياس زمن الإغلاق حسب النطاق الجغرافي.,إيجابي,عاجلة,القنوات الرقمية والنماذج الإلكترونية,2026-05-27 03:56:32
54,تأخر الرد على ملاحظة من هجرة بعيدة يسبب اضطرار الأهالي للحضور للمحافظة أكثر من مرة.,سلبي,حرج,المركز الشامل وخدمات الجمهور,2026-05-27 03:56:38
55,لا تصلني رسائل التحقق عند محاولة الدخول للبوابة في بعض الأوقات.,سلبي,منخفض,القنوات الرقمية والنماذج الإلكترونية,2026-05-27 03:56:42
56,النموذج الإلكتروني لا يقبل بعض المرفقات رغم أنها بصيغة PDF.,سلبي,متوسط,القنوات الرقمية والنماذج الإلكترونية,2026-05-27 03:56:48
57,أحتاج أن تكون التعليمات داخل النموذج أبسط، خصوصًا في خانة وصف الطلب.,سلبي,متوسط,المحافظات والمراكز والقرى والهجر,2026-05-27 03:56:52
58,عند اختيار المحافظة في النموذج لا تظهر بعض المراكز التابعة لها.,سلبي,متوسط,المحافظات والمراكز والقرى والهجر,2026-05-27 03:56:56
59,أقترح إضافة خيار تتبع الطلب من خلال رقم الجوال ورقم الطلب فقط.,إيجابي,متوسط,اقتراحات تحسين تجربة المستفيد,2026-05-27 03:57:00
60,تظهر صفحة خطأ بعد إرسال النموذج ولا أعرف هل تم تسجيل الطلب أم لا.,سلبي,منخفض,القنوات الرقمية والنماذج الإلكترونية,2026-05-27 03:57:05
61,البوابة واضحة وساعدتني في تقديم الطلب دون الحاجة للحضور.,إيجابي,منخفض,القنوات الرقمية والنماذج الإلكترونية,2026-05-27 03:57:08
62,لا توجد صفحة موحدة توضح كل خدمات الإمارة الرقمية وروابطها.,سلبي,متوسط,متابعة المعاملات والطلبات لدى الإمارة,2026-05-27 03:57:11
63,ما هي المدة المتوقعة للرد على الشكوى بعد إحالتها للجهة المختصة؟,سلبي,عالي,حالات عاجلة وحرجة,2026-05-27 03:57:24
64,أرغب بمعرفة طريقة الاعتراض على إغلاق طلب سابق.,سلبي,عالي,المركز الشامل وخدمات الجمهور,2026-05-27 03:57:26
65,هل أستطيع تعديل وصف الطلب بعد إرساله إذا اكتشفت خطأ؟,محايد,متوسط,الاستفسارات عن المتطلبات والإجراءات,2026-05-27 03:57:35
66,ما القنوات الرسمية المعتمدة لاستقبال شكاوى وملاحظات الأهالي؟,محايد,متوسط,القنوات الرقمية والنماذج الإلكترونية,2026-05-27 03:57:47
67,أحتاج معرفة هل الشكوى البلدية تقدم عبر الإمارة أم عبر الجهة الخدمية مباشرة.,محايد,منخفض,القنوات الرقمية والنماذج الإلكترونية,2026-05-27 03:57:54
68,هل توجد خدمة لإشعار المستفيد عند انتهاء المعالجة؟,إيجابي,متوسط,المركز الشامل وخدمات الجمهور,2026-05-27 03:58:03
69,أقترح أن يتيح النظام تقييم الخدمة بعد إغلاق الطلب مباشرة.,محايد,منخفض,اقتراحات تحسين تجربة المستفيد,2026-05-27 03:58:07
70,يفضل وجود رد آلي يوضح للمستفيد هل طلبه من اختصاص الإمارة أم جهة أخرى.,سلبي,متوسط,القنوات الرقمية والنماذج الإلكترونية,2026-05-27 03:58:11
71,نقترح استخدام تحليل المشاعر لاكتشاف الحالات الغاضبة قبل أن تتكرر الشكوى.,محايد,متوسط,اقتراحات تحسين تجربة المستفيد,2026-05-27 03:58:15
72,أقترح دمج الملاحظات المتشابهة حتى لا تتعامل الإدارات مع نفس الموضوع أكثر من مرة.,إيجابي,متوسط,المركز الشامل وخدمات الجمهور,2026-05-27 03:58:19
73,نحتاج ملخصًا أسبوعيًا للإدارة العليا عن أكثر الشكاوى تأثيرًا على رضا المستفيدين.,سلبي,منخفض,المركز الشامل وخدمات الجمهور,2026-05-27 03:58:24
74,أقترح إضافة تصنيف عاجل للحالات التي تتعلق بالسلامة العامة حتى لا تنتظر في المسار العادي.,إيجابي,عالي,حالات عاجلة وحرجة,2026-05-27 03:58:30
75,خدمة الاستقبال كانت منظمة، والموظف أوضح لي الإجراءات دون تعقيد.,إيجابي,منخفض,المركز الشامل وخدمات الجمهور,2026-05-27 03:58:34
76,وصلني إشعار بحالة الطلب في الوقت المناسب، وكانت التجربة أفضل من المراجعة الحضورية.,إيجابي,منخفض,المركز الشامل وخدمات الجمهور,2026-05-27 03:58:37
77,نشكر المحافظة على إيصال ملاحظة الأهالي للإمارة ومتابعة الرد مع الجهة المختصة.,إيجابي,متوسط,رضا وشكر,2026-05-27 03:58:41
78,تم الرد على استفساري بوضوح عبر الاتصال، ولم أحتج للحضور للمركز.,إيجابي,منخفض,المركز الشامل وخدمات الجمهور,2026-05-27 03:58:44
79,تجمع مياه أمام مدخل حي بعد الأمطار يعيق الحركة ويحتاج تنسيقًا عاجلًا مع الجهة المختصة.,سلبي,حرج,حالات عاجلة وحرجة,2026-05-27 03:58:51
80,يوجد انقطاع متكرر لخدمة ضرورية في مركز بعيد، ويؤثر على قدرة الأهالي على استخدام الخدمات الرقمية.,سلبي,متوسط,الشكاوى والملاحظات المحالة لجهات خدمية,2026-05-27 03:59:06
81,وردت عدة شكاوى في يوم واحد عن نفس الموقع الخطر، ونحتاج دمجها وتصعيدها بشكل عاجل.,سلبي,حرج,حالات عاجلة وحرجة,2026-05-27 03:59:10
