,المشاعر,درجة_الأولوية,التصنيف,الوقت
0,سلبي,حرج,حالات عاجلة وحرجة,2026-05-25 17:35:19
1,سلبي,متوسط,متابعة المعاملات والطلبات لدى الإمارة,2026-05-25 17:34:47
2,سلبي,حرج,حالات عاجلة وحرجة,2026-05-25 17:34:21
3,إيجابي,منخفض,رضا وشكر,2026-05-25 17:33:51
4,إيجابي,متوسط,متابعة المعاملات والطلبات لدى الإمارة,2026-05-25 17:33:18
5,إيجابي,منخفض,متابعة المعاملات والطلبات لدى الإمارة,2026-05-25 17:32:45
6,إيجابي,متوسط,متابعة المعاملات والطلبات لدى الإمارة,2026-05-25 17:31:46
7,إيجابي,عالي,حالات عاجلة وحرجة,2026-05-25 17:31:13
8,سلبي,متوسط,الشكاوى والملاحظات المحالة لجهات خدمية,2026-05-25 17:30:44
9,محايد,متوسط,متابعة المعاملات والطلبات لدى الإمارة,2026-05-25 17:30:11
10,إيجابي,حرج,الشكاوى والملاحظات المحالة لجهات خدمية,2026-05-25 17:29:27
11,إيجابي,متوسط,متابعة المعاملات والطلبات لدى الإمارة,2026-05-25 17:26:59
12,محايد,متوسط,الاستفسارات عن المتطلبات والإجراءات,2026-05-25 17:26:23
13,سلبي,متوسط,متابعة المعاملات والطلبات لدى الإمارة,2026-05-25 17:25:42
14,سلبي,متوسط,الشكاوى والملاحظات المحالة لجهات خدمية,2026-05-25 17:25:11
15,سلبي,متوسط,متابعة المعاملات والطلبات لدى الإمارة,2026-05-25 17:24:41
16,محايد,متوسط,متابعة المعاملات والطلبات لدى الإمارة,2026-05-25 17:24:01
17,محايد,متوسط,استفسارات عن المتطلبات والإجراءات,2026-05-25 17:23:24
18,سلبي,متوسط,القنوات الرقمية والنماذج الإلكترونية,2026-05-25 17:22:53
19,إيجابي,متوسط,القنوات الرقمية والنماذج الإلكترونية,2026-05-25 17:22:17
20,سلبي,متوسط,القنوات الرقمية والنماذج الإلكترونية,2026-05-25 17:21:36
21,إيجابي,متوسط,متابعة المعاملات والطلبات لدى الإمارة,2026-05-25 17:20:52
22,سلبي,متوسط,المحافظات والمراكز والقرى والهجر,2026-05-25 17:20:22
23,إيجابي,متوسط,القناوات الرقمية والنماذج الإلكترونية,2026-05-25 17:19:51
24,سلبي,متوسط,القنوات الرقمية والنماذج الإلكترونية,2026-05-25 17:19:03
25,سلبي,متوسط,القنوات الرقمية والنماذج الإلكترونية,2026-05-25 17:18:44
26,سلبي,متوسط,الشكاوى والملاحظات المحالة لجهات خدمية,2026-05-25 17:18:31
27,محايد,منخفض,المحافظات والمراكز والقرى والهجر,2026-05-25 17:18:19
28,سلبي,متوسط,الشكاوى والملاحظات المحالة لجهات خدمية,2026-05-25 17:18:01
29,محايد,منخفض,المحافظات والمراكز والقرى والهجر,2026-05-25 17:17:46
30,سلبي,متوسط,الشكاوى والملاحظات المحالة لجهات خدمية,2026-05-25 17:17:30
31,إيجابي,متوسط,المركز الشامل وخدمات الجمهور,2026-05-25 17:17:14
32,سلبي,متوسط,الشكاوى والملاحظات المحالة لجهات خدمية,2026-05-25 17:17:02
33,سلبي,متوسط,المحافظات والمراكز والقرى والهجر,2026-05-25 17:16:47
34,سلبي,متوسط,متابعة المعاملات والطلبات لدى الإمارة,2026-05-25 17:16:34
35,سلبي,متوسط,الشكاوى,2026-05-25 17:16:21
36,محايد,متوسط,الشكاوى والملاحظات المحالة لجهات خدمية,2026-05-25 17:15:45
37,سلبي,متوسط,المحافظات والمراكز والقرى والهجر,2026-05-25 17:15:34
38,سلبي,متوسط,المحافظات والمراكز والقرى والهجر,2026-05-25 17:15:21
39,إيجابي,متوسط,الشكاوى والملاحظات المحالة لجهات خدمية,2026-05-25 17:15:05
40,سلبي,متوسط,متابعة المعاملات والطلبات لدى الإمارة,2026-05-25 17:14:53
41,سلبي,متوسط,الشكاوى والملاحظات المحالة لجهات خدمية,2026-05-25 17:14:40
42,سلبي,متوسط,الشكاوى والملاحظات المحالة لجهات خدمية,2026-05-25 17:14:25
43,سلبي,متوسط,الشكاوى والملاحظات المحالة لجهات خدمية,2026-05-25 17:14:14
44,سلبي,متوسط,متابعة المعاملات والطلبات لدى الإمارة,2026-05-25 17:14:01
45,سلبي,متوسط,الشكاوى والملاحظات المحالة لجهات خدمية,2026-05-25 17:13:46
46,محايد,متوسط,الشكاوى والملاحظات المحالة لجهات خدمية,2026-05-25 17:13:37
47,إيجابي,متوسط,متابعة المعاملات والطلبات لدى الإمارة,2026-05-25 17:13:27
48,سلبي,متوسط,متابعة المعاملات والطلبات لدى الإمارة,2026-05-25 17:13:14
49,سلبي,حرج,حالات عاجلة وحرجة,2026-05-25 17:13:01
50,سلبي,متوسط,الشكاوى والملاحظات المحالة لجهات خدمية,2026-05-25 17:12:50
51,سلبي,متوسط,الشكاوى والملاحظات المحالة لجهات خدمية,2026-05-25 17:12:38
52,سلبي,منخفض,الشكاوى والملاحظات المحالة لجهات خدمية,2026-05-25 17:12:26
53,محايد,متوسط,متابعة المعاملات والطلبات لدى الإمارة,2026-05-25 17:11:51
54,إيجابي,متوسط,متابعة المعاملات والطلبات لدى الإمارة,2026-05-25 17:11:36
55,إيجابي,متوسط,متابعة المعاملات والطلبات لدى الإمارة,2026-05-25 17:11:21
56,محايد,منخفض,المحافظات والمراكز والقرى والهجر,2026-05-25 17:11:08
57,محايد,متوسط,استفسار,2026-05-25 17:10:48
58,سلبي,متوسط,استفسارات عن المتطلبات والإجراءات,2026-05-25 17:10:03
59,سلبي,متوسط,متابعة المعاملات والطلبات لدى الإمارة,2026-05-25 17:09:54
60,سلبي,متوسط,متابعة المعاملات والطلبات لدى الإمارة,2026-05-25 17:09:39
61,إيجابي,متوسط,متابعة المعاملات والطلبات لدى الإمارة,2026-05-25 17:09:27
62,سلبي,متوسط,المركز الشامل وخدمات الجمهور,2026-05-25 17:09:07
63,إيجابي,متوسط,المركز الشامل وخدمات الجمهور,2026-05-25 17:08:56
64,سلبي,متوسط,الشكاوى والملاحظات المحالة لجهات خدمية,2026-05-25 17:08:40
65,محايد,متوسط,متابعة المعاملات والطلبات لدى الإمارة,2026-05-25 17:08:26
66,سلبي,متوسط,الشكاوى والملاحظات المحالة لجهات خدمية,2026-05-25 17:08:16
67,سلبي,حرج,حالات عاجلة وحرجة,2026-05-25 17:07:56
68,سلبي,متوسط,متابعة المعاملات والطلبات لدى الإمارة,2026-05-25 17:07:35
69,سلبي,متوسط,متابعة المعاملات والطلبات لدى الإمارة,2026-05-25 17:06:39
70,سلبي,متوسط,الشكاوى والملاحظات المحالة لجهات خدمية,2026-05-25 17:06:14
71,محايد,متوسط,متابعة المعاملات والطلبات لدى الإمارة,2026-05-25 17:05:54
72,سلبي,متوسط,الشكاوى والملاحظات المحالة لجهات خدمية,2026-05-25 17:05:41
73,سلبي,متوسط,متابعة المعاملات والطلبات لدى الإمارة,2026-05-25 17:05:28
74,سلبي,متوسط,متابعة المعاملات والطلبات لدى الإمارة,2026-05-25 17:05:15
75,محايد,متوسط,متابعة المعاملات والطلبات لدى الإمارة,2026-05-25 17:05:01
76,سلبي,حرج,متابعة المعاملات والطلبات لدى الإمارة,2026-05-25 17:04:46
77,سلبي,متوسط,متابعة المعاملات والطلبات لدى الإمارة,2026-05-25 17:04:32
78,سلبي,متوسط,الشكاوى والملاحظات المحالة لجهات خدمية,2026-05-25 17:04:13
79,محايد,متوسط,استفسار,2026-05-25 17:04:01
80,سلبي,متوسط,متابعة المعاملات والطلبات لدى الإمارة,2026-05-25 17:03:35
