الوقت,النص,التصنيف,المشاعر,درجة_الأولوية,الملخص,وقت_الاستجابة
2026-05-27 12:56:06,"أرفقت جميع المستندات المطلوبة وما زال الطلب يظهر قيد المراجعة منذ فترة طويلة دون توضيح السبب.
",المحافظات والمراكز والقرى والهجر,سلبي,منخفض,طلب متابعة مدة طويلة دون توضيح سبب,3.43s
2026-05-27 12:56:11,"وصلتني رسالة تفيد بنقص مستندات لكن لم يتم تحديد المستند الناقص أو طريقة رفعه.
",القنوات الرقمية والنماذج الإلكترونية,سلبي,عاجلة,نقص مستندات لم يتم تحديد,5.12s
2026-05-27 12:56:15,"طلبت متابعة معاملة سابقة ولم أستلم رقمًا مرجعيًا يمكنني استخدامه عند المراجعة.
",متابعة المعاملات والطلبات لدى الإمارة,سلبي,عاجلة,طلب رقم مرجعي للمراجعة,4.45s
2026-05-27 12:56:19,"راجعت الإمارة مرتين بسبب نفس الطلب، وفي كل مرة يطلب مني شرح الموضوع من جديد.
",متابعة المعاملات والطلبات لدى الإمارة,سلبي,منخفض,راجعت الإمارة مرتين بسبب نفس الطلب وطلب شرح من جديد,3.51s
2026-05-27 12:56:23,"تم إغلاق طلبي في النظام دون توضيح نتيجة المعالجة أو سبب الإغلاق.
",المركز الشامل وخدمات الجمهور,سلبي,عاجلة,إغلاق طلب بدون توضيح نتيجة,4.01s
2026-05-27 12:56:27,"أرغب بمعرفة هل معاملتي ما زالت لدى الإمارة أم تمت إحالتها للجهة المختصة.
",متابعة المعاملات والطلبات لدى الإمارة,محايد,متوسط,معرفة حالة المعاملة,4.44s
2026-05-27 12:56:32,"توجد معاملة مرتبطة بطلب سابق، لكن النظام لا يربط بين الطلبين وهذا يسبب تكرار المراجعة.
",متابعة المعاملات والطلبات لدى الإمارة,سلبي,عاجلة,تكرار المراجعة بسبب عدم ربط الطلبين,4.19s
2026-05-27 12:56:35,"أحتاج تحديث بيانات التواصل المرتبطة بطلب قائم لكن لا توجد أيقونة واضحة للتعديل.
",المركز الشامل وخدمات الجمهور,سلبي,متوسط,نقص إيقونة تعديل في النموذج,3.08s
2026-05-27 12:56:39,"بعد رفع الطلب، لم تصلني نسخة من النموذج أو ملخص لما تم إرساله.
",المركز الشامل وخدمات الجمهور,سلبي,عاجلة,عدم توفير نسخة من النموذج أو ملخص ما تم إرساله,4.47s
2026-05-27 12:56:43,"أرغب في معرفة المدة المتوقعة لمعالجة طلبي حتى لا أحتاج للمراجعة المتكررة.
",الاستفسارات عن المتطلبات والإجراءات,محايد,منخفض,طلب معلومات عن المدة المتوقعة لمعالجة طلبي,4.18s
2026-05-27 12:56:47,"تم استلام طلبي من الموظف، لكن لم يتم تسجيله في النظام مباشرة ولم يصلني رقم متابعة.
",الشكاوى والملاحظات المحالة لجهات خدمية,سلبي,عاجلة,عدم تسجيل طلب وغياب رقم متابعة,4.11s
2026-05-27 12:56:54,"حالة الطلب تغيرت إلى مكتمل، لكن لم يتم توضيح القرار النهائي أو الخطوة التالية.
",متابعة المعاملات والطلبات لدى الإمارة,محايد,متوسط,طلب مكتمل لكن لا توضيح القرار,6.48s
2026-05-27 12:56:58,"أحتاج إمكانية رفع مرفقات إضافية على نفس الطلب بدل إنشاء طلب جديد.
",المركز الشامل وخدمات الجمهور,سلبي,متوسط,توجد مشكلة في إضافة المرفقات مباشرة,3.72s
2026-05-27 12:57:01,"تأخرت الإفادة عن معاملة عاجلة مرتبطة بظرف أسري، وأحتاج تصعيدها للإدارة المختصة.
",حالات عاجلة وحرجة,سلبي,عالي,تأخرت الإفادة عن معاملة عاجلة مرتبطة بظرف أسري,3.50s
2026-05-27 12:57:04,"لم تصلني إفادة بعد استكمال النواقص رغم رفعها قبل عدة أيام.
",متابعة المعاملات والطلبات لدى الإمارة,سلبي,متوسط,عدم متابعة المعاملة بعد رفعها,2.83s
2026-05-27 12:57:08,"أرغب في استلام تنبيه عند انتقال الطلب من مرحلة لأخرى بدل الدخول اليومي للمنصة.
",متابعة المعاملات والطلبات لدى الإمارة,محايد,منخفض,استلام تنبيه عند انتقال الطلب بين مرحلات,4.28s
2026-05-27 12:57:13,"تعامل موظف الاستقبال كان ممتازًا، لكن الإجراءات غير واضحة قبل الوصول للكاونتر.
",الاستفسارات عن المتطلبات والإجراءات,محايد,متوسط,إجراءات غير واضحة قبل الوصول للكاونتر,5.02s
2026-05-27 12:57:17,"أحتاج مسارًا أسرع لكبار السن وذوي الإعاقة في المركز الشامل.
",اقتراحات تحسين تجربة المستفيد,إيجابي,متوسط,تحسين مسار أسرع لكبار السن وذوي الإعاقة في المركز الشامل,3.72s
2026-05-27 12:57:21,"لا توجد منطقة انتظار كافية عند الازدحام في أوقات الذروة.
",المركز الشامل وخدمات الجمهور,سلبي,عاجلة,نقص في منطقة انتظار خلال الذروة,3.65s
